Date, MaxTemperature, MinTemperature, AvgTemperature
3/26/2011,38,25,31.5
3/27/2011,42,24,33
3/28/2011,46,24,35
3/29/2011,48,29,38.5
3/30/2011,51,32,41.5
3/31/2011,52,28,40
4/1/2011,51,35,43
4/2/2011,60,32,46
4/3/2011,80,41,60.5
4/4/2011,70,41,55.5
4/5/2011,55,32,43.5
4/6/2011,72,43,57.5
4/7/2011,60,40,50
4/8/2011,59,45,52
4/9/2011,78,49,63.5
4/10/2011,82,61,71.5
4/11/2011,74,51,62.5
4/12/2011,61,41,51
4/13/2011,66,40,53
4/14/2011,73,43,58
4/15/2011,60,44,52
4/16/2011,50,38,44
4/17/2011,60,36,48
4/18/2011,60,43,51.5
4/19/2011,73,39,56
4/20/2011,44,33,38.5
4/21/2011,59,33,46
4/22/2011,65,46,55.5
4/23/2011,67,48,57.5
4/24/2011,61,50,55.5
4/25/2011,64,52,58
4/26/2011,70,55,62.5
4/27/2011,56,42,49
4/28/2011,58,40,49
4/29/2011,62,43,52.5
4/30/2011,73,48,60.5
5/1/2011,65,44,54.5
5/2/2011,55,44,49.5
5/3/2011,58,41,49.5
5/4/2011,56,37,46.5
5/5/2011,63,34,48.5
5/6/2011,68,45,56.5
5/7/2011,76,52,64
5/8/2011,73,51,62
5/9/2011,78,55,66.5
5/10/2011,89,64,76.5
5/11/2011,88,61,74.5
5/12/2011,85,64,74.5
5/13/2011,80,53,66.5
5/14/2011,54,48,51
5/15/2011,50,42,46
5/16/2011,59,37,48
5/17/2011,60,38,49
5/18/2011,61,48,54.5
5/19/2011,75,48,61.5
5/20/2011,82,54,68
5/21/2011,80,61,70.5
5/22/2011,86,62,74
5/23/2011,82,61,71.5
5/24/2011,85,60,72.5
5/25/2011,76,60,68
5/26/2011,61,46,53.5
5/27/2011,63,46,54.5
5/28/2011,66,54,60
5/29/2011,83,62,72.5
5/30/2011,88,65,76.5
5/31/2011,86,68,77
6/1/2011,86,60,73
6/2/2011,79,59,69
6/3/2011,90,63,76.5
6/4/2011,94,72,83
6/5/2011,85,65,75
6/6/2011,93,67,80
6/7/2011,95,72,83.5
6/8/2011,95,74,84.5
6/9/2011,92,61,76.5
6/10/2011,88,60,74
6/11/2011,79,58,68.5
6/12/2011,74,55,64.5
6/13/2011,79,55,67
6/14/2011,76,61,68.5
6/15/2011,78,60,69
6/16/2011,84,58,71
6/17/2011,84,63,73.5
6/18/2011,80,67,73.5
6/19/2011,81,66,73.5
6/20/2011,85,69,77
6/21/2011,87,67,77
6/22/2011,78,66,72
6/23/2011,72,63,67.5
6/24/2011,70,61,65.5
6/25/2011,79,55,67
6/26/2011,79,65,72
6/27/2011,83,64,73.5
6/28/2011,81,62,71.5
6/29/2011,83,58,70.5
6/30/2011,87,61,74
7/1/2011,83,69,76
7/2/2011,95,72,83.5
7/3/2011,89,70,79.5
7/4/2011,86,66,76
7/5/2011,87,61,74
